station,valid,tmpc,relh,drct,sped,p01m
NYC,2022-01-01 00:51,10.56,85.48,0.00,0.00,0.00
NYC,2022-01-01 01:51,10.56,89.09,0.00,0.00,0.00
NYC,2022-01-01 02:30,10.56,85.48,0.00,0.00,0.00
NYC,2022-01-01 02:38,11.11,82.68,160.00,3.45,0.00
NYC,2022-01-01 02:51,10.56,85.48,140.00,4.60,0.00
NYC,2022-01-01 03:29,10.56,85.48,130.00,5.75,0.00
NYC,2022-01-01 03:51,10.00,92.80,150.00,4.60,T
NYC,2022-01-01 04:51,10.00,92.80,0.00,0.00,T
NYC,2022-01-01 05:20,10.00,95.98,0.00,0.00,0.00
NYC,2022-01-01 05:51,10.56,92.14,150.00,4.60,T
NYC,2022-01-01 06:51,10.56,92.14,0.00,0.00,T
NYC,2022-01-01 07:49,10.00,93.50,140.00,4.60,1.02
NYC,2022-01-01 07:51,10.00,95.98,140.00,5.75,1.02
NYC,2022-01-01 08:04,10.56,96.00,M,4.60,0.51
NYC,2022-01-01 08:37,10.56,96.00,150.00,4.60,1.02
NYC,2022-01-01 08:43,11.11,92.86,170.00,6.90,1.02
NYC,2022-01-01 08:51,11.11,92.86,160.00,4.60,1.02
NYC,2022-01-01 09:12,11.11,96.73,190.00,3.45,T
NYC,2022-01-01 09:20,11.11,92.86,M,3.45,T
NYC,2022-01-01 09:49,12.00,93.60,M,3.45,0.25
NYC,2022-01-01 09:51,11.67,92.89,M,5.75,0.25
NYC,2022-01-01 10:15,11.67,96.39,M,4.60,0.25
NYC,2022-01-01 10:34,11.67,96.03,210.00,4.60,0.51
NYC,2022-01-01 10:49,12.00,93.60,M,6.90,0.51
NYC,2022-01-01 10:51,12.22,92.92,M,5.75,0.51
NYC,2022-01-01 10:58,12.22,92.92,M,3.45,T
NYC,2022-01-01 11:36,12.22,92.92,240.00,4.60,T
NYC,2022-01-01 11:48,12.00,93.60,M,4.60,T
NYC,2022-01-01 11:51,12.22,92.92,250.00,6.90,T
NYC,2022-01-01 12:51,12.22,96.76,M,4.60,0.51
NYC,2022-01-01 13:51,12.22,96.76,0.00,0.00,T
NYC,2022-01-01 14:24,12.78,93.29,250.00,8.05,T
NYC,2022-01-01 14:51,12.78,93.29,0.00,0.00,T
NYC,2022-01-01 15:51,13.33,93.32,0.00,0.00,0.00
NYC,2022-01-01 16:51,13.33,90.29,0.00,0.00,T
NYC,2022-01-01 17:51,12.22,96.76,0.00,0.00,0.51
NYC,2022-01-01 18:01,12.78,93.29,300.00,3.45,0.25
NYC,2022-01-01 18:20,12.78,93.29,0.00,0.00,0.51
NYC,2022-01-01 18:51,12.22,96.76,0.00,0.00,1.27
NYC,2022-01-01 19:04,12.22,96.76,40.00,3.45,T
NYC,2022-01-01 19:15,12.22,96.76,80.00,5.75,0.25
NYC,2022-01-01 19:29,12.22,96.76,70.00,3.45,0.51
NYC,2022-01-01 19:41,12.22,96.76,M,3.45,0.76
NYC,2022-01-01 19:51,11.67,96.03,100.00,4.60,1.27
NYC,2022-01-01 20:09,11.67,96.03,50.00,4.60,0.76
NYC,2022-01-01 20:39,11.67,96.03,50.00,5.75,1.27
NYC,2022-01-01 20:51,11.67,96.03,50.00,3.45,1.52
NYC,2022-01-01 21:18,11.67,96.03,50.00,8.05,1.02
NYC,2022-01-01 21:28,11.67,96.03,60.00,6.90,2.03
NYC,2022-01-01 21:41,11.67,96.03,50.00,3.45,2.54
NYC,2022-01-01 21:49,12.00,93.60,40.00,6.90,3.30
NYC,2022-01-01 21:51,11.67,96.03,40.00,6.90,3.81
NYC,2022-01-01 22:17,11.67,96.03,60.00,9.20,3.05
NYC,2022-01-01 22:29,11.67,96.03,M,5.75,4.57
NYC,2022-01-01 22:40,11.67,96.03,70.00,5.75,6.10
NYC,2022-01-01 22:51,11.67,96.03,70.00,4.60,7.11
NYC,2022-01-01 23:22,11.67,96.03,50.00,8.05,0.76
NYC,2022-01-01 23:51,11.11,96.73,70.00,9.20,1.27
NYC,2022-01-02 00:43,11.11,96.73,60.00,6.90,0.51
NYC,2022-01-02 00:51,11.11,96.73,90.00,8.05,0.51
NYC,2022-01-02 01:27,11.11,96.73,50.00,4.60,T
NYC,2022-01-02 01:51,11.11,96.73,M,3.45,T
NYC,2022-01-02 02:04,11.11,96.73,0.00,0.00,T
NYC,2022-01-02 02:14,11.11,96.73,100.00,3.45,T
NYC,2022-01-02 02:27,11.11,96.73,110.00,5.75,T
NYC,2022-01-02 02:51,11.11,96.73,M,4.60,T
NYC,2022-01-02 03:02,11.11,100.00,0.00,0.00,0.00
NYC,2022-01-02 03:51,11.11,96.73,0.00,0.00,0.00
NYC,2022-01-02 04:24,11.11,96.73,0.00,0.00,0.00
NYC,2022-01-02 04:51,11.11,96.73,310.00,4.60,0.00
NYC,2022-01-02 05:00,11.11,96.73,0.00,0.00,0.00
NYC,2022-01-02 05:51,11.11,96.73,0.00,0.00,0.51
NYC,2022-01-02 06:05,11.11,100.00,0.00,0.00,T
NYC,2022-01-02 06:51,11.11,96.73,260.00,4.60,T
NYC,2022-01-02 07:11,11.11,100.00,0.00,0.00,0.00
NYC,2022-01-02 07:19,11.11,100.00,0.00,0.00,0.00
NYC,2022-01-02 07:32,11.11,96.73,0.00,0.00,0.00
NYC,2022-01-02 07:47,11.00,100.00,280.00,3.45,0.00
NYC,2022-01-02 07:51,11.11,96.73,0.00,0.00,0.00
NYC,2022-01-02 08:51,11.67,96.03,0.00,0.00,0.00
NYC,2022-01-02 09:17,12.22,92.92,250.00,3.45,0.00
NYC,2022-01-02 09:37,12.22,92.92,M,M,0.00
NYC,2022-01-02 09:51,12.22,92.92,M,6.90,0.00
NYC,2022-01-02 10:51,12.22,92.92,250.00,9.20,0.00
NYC,2022-01-02 11:20,12.78,89.59,M,M,0.00
NYC,2022-01-02 11:51,12.78,89.59,230.00,9.20,0.00
NYC,2022-01-02 12:38,13.89,83.33,240.00,9.20,0.00
NYC,2022-01-02 12:51,13.89,83.33,240.00,9.20,0.00
NYC,2022-01-02 13:42,15.00,77.55,M,3.45,0.00
NYC,2022-01-02 13:51,14.44,78.03,290.00,9.20,0.00
NYC,2022-01-02 14:32,13.89,74.27,M,5.75,0.00
